i,t,m,j,Expenditure
101010160009,2010-11,North,Chambiko - Soured Milk,60
101010160009,2010-11,North,Cooking Oil,60
101010160009,2010-11,North,Dried Fish,100
101010160009,2010-11,North,Onion,50
101010160009,2010-11,North,Salt,40
101010160009,2010-11,North,Tomato,80
101010160009,2010-11,North,Traditional Beer (Masase),120
101010160033,2010-11,North,Cooking Oil,40
101010160033,2010-11,North,Goat,150
101010160033,2010-11,North,Salt,10
101010160033,2010-11,North,Tomato,40
101010160033,2010-11,North,Traditional Beer (Masase),90
101010160033,2010-11,North,"Yeast, Baking Powder, Bica",10
101010160060,2010-11,North,"Bean, Brown",300
101010160060,2010-11,North,Cooking Oil,140
101010160060,2010-11,North,Onion,20
101010160060,2010-11,North,Pork,300
101010160060,2010-11,North,Salt,40
101010160060,2010-11,North,Sugar,300
101010160060,2010-11,North,Tomato,60
101010160060,2010-11,North,"Yeast, Baking Powder, Bica",30
101010160068,2010-11,North,Banana,50
101010160068,2010-11,North,Biscuits,50
101010160068,2010-11,North,Cooking Oil,170
101010160068,2010-11,North,"Mandazi, Doughnut (Vendor)",30
101010160068,2010-11,North,Salt,100
101010160068,2010-11,North,Sugar,150
101010160068,2010-11,North,Tomato,50
101010160069,2010-11,North,Dried Fish,50
101010160069,2010-11,North,Eggs,60
101010160069,2010-11,North,Guava,20
101010160069,2010-11,North,"Mandazi, Doughnut (Vendor)",60
101010160069,2010-11,North,Onion,50
101010160069,2010-11,North,Salt,50
101010160069,2010-11,North,Sugar,50
101010160069,2010-11,North,Sugar Cane,40
101010160069,2010-11,North,Tanaposi Rape,80
101010160069,2010-11,North,Tomato,50
101010160070,2010-11,North,Cooking Oil,550
101010160070,2010-11,North,Dried Fish,100
101010160070,2010-11,North,"Mandazi, Doughnut (Vendor)",220
101010160070,2010-11,North,Onion,20
101010160070,2010-11,North,Salt,50
101010160070,2010-11,North,Sugar,300
101010160070,2010-11,North,Tea,50
101010160070,2010-11,North,Tomato,100
101010160074,2010-11,North,Cooking Oil,40
101010160074,2010-11,North,Onion,100
101010160074,2010-11,North,Salt,20
101010160074,2010-11,North,Sugar,150
101010160074,2010-11,North,Tea,30
101010160074,2010-11,North,Tomato,60
101010160074,2010-11,North,Traditional Beer (Masase),60
101010160086,2010-11,North,"Bean, Brown",600
101010160086,2010-11,North,Cassava Tubers,100
101010160086,2010-11,North,Cooking Oil,300
101010160086,2010-11,North,Dried Fish,150
101010160086,2010-11,North,Eggs,120
101010160086,2010-11,North,"Mandazi, Doughnut (Vendor)",180
101010160086,2010-11,North,Onion,40
101010160086,2010-11,North,Salt,20
101010160086,2010-11,North,Sugar,300
101010160086,2010-11,North,Tea,20
101010160086,2010-11,North,Tomato,100
101010160096,2010-11,North,Biscuits,100
101010160096,2010-11,North,Cassava Tubers,200
101010160096,2010-11,North,Cooking Oil,20
101010160096,2010-11,North,Fresh Fish (Large Variety),100
101010160096,2010-11,North,Nkwani,100
101010160096,2010-11,North,Onion,40
101010160096,2010-11,North,Papaya,100
101010160096,2010-11,North,Salt,20
101010160096,2010-11,North,Sugar,150
101010160143,2010-11,North,"Bean, Brown",250
101010160143,2010-11,North,Cooking Oil,60
101010160143,2010-11,North,Goat,300
101010160143,2010-11,North,"Mandazi, Doughnut (Vendor)",50
101010160143,2010-11,North,Onion,20
101010160143,2010-11,North,Salt,40
101010160143,2010-11,North,Sugar,150
101010160143,2010-11,North,Tea,20
101010160143,2010-11,North,Tomato,60
101010160143,2010-11,North,Traditional Beer (Masase),150
101010160159,2010-11,North,Banana,10
101010160159,2010-11,North,"Bean, Brown",50
101010160159,2010-11,North,Chambiko - Soured Milk,25
101010160159,2010-11,North,Pumpkin,50
101010160159,2010-11,North,Salt,20
101010160159,2010-11,North,Sugar,50
101010160180,2010-11,North,"Bean, White",100
101010160180,2010-11,North,Cooking Oil,40
101010160180,2010-11,North,Salt,20
101010160180,2010-11,North,Tomato,50
101010160180,2010-11,North,"Yeast, Baking Powder, Bica",5
