i,t,m,Rural
10101002025,2004-05,North,1
10101002051,2004-05,North,1
10101002072,2004-05,North,1
10101002079,2004-05,North,1
10101002095,2004-05,North,1
10101002100,2004-05,North,1
10101002117,2004-05,North,1
10101002145,2004-05,North,1
10101002157,2004-05,North,1
10101002168,2004-05,North,1
10101002208,2004-05,North,1
10101002225,2004-05,North,1
10101002240,2004-05,North,1
10101002246,2004-05,North,1
10101002252,2004-05,North,1
10101002270,2004-05,North,1
10101002288,2004-05,North,1
10101002312,2004-05,North,1
10101002325,2004-05,North,1
10101002344,2004-05,North,1
10101003006,2004-05,North,1
10101003013,2004-05,North,1
10101003017,2004-05,North,1
10101003020,2004-05,North,1
10101003035,2004-05,North,1
10101003053,2004-05,North,1
10101003062,2004-05,North,1
10101003073,2004-05,North,1
10101003093,2004-05,North,1
10101003111,2004-05,North,1
10101003115,2004-05,North,1
10101003149,2004-05,North,1
10101003165,2004-05,North,1
10101003174,2004-05,North,1
10101003177,2004-05,North,1
10101003194,2004-05,North,1
10101003201,2004-05,North,1
10101003264,2004-05,North,1
10101003268,2004-05,North,1
10101003269,2004-05,North,1
10101010013,2004-05,North,1
10101010028,2004-05,North,1
10101010036,2004-05,North,1
10101010071,2004-05,North,1
10101010079,2004-05,North,1
10101010095,2004-05,North,1
10101010128,2004-05,North,1
10101010150,2004-05,North,1
10101010165,2004-05,North,1
10101010182,2004-05,North,1
10101010188,2004-05,North,1
10101010199,2004-05,North,1
10101010204,2004-05,North,1
10101010229,2004-05,North,1
10101010240,2004-05,North,1
10101010249,2004-05,North,1
10101010270,2004-05,North,1
10101010276,2004-05,North,1
10101010277,2004-05,North,1
10101010283,2004-05,North,1
10101013002,2004-05,North,1
10101013028,2004-05,North,1
10101013052,2004-05,North,1
10101013071,2004-05,North,1
10101013077,2004-05,North,1
10101013085,2004-05,North,1
10101013094,2004-05,North,1
10101013095,2004-05,North,1
10101013128,2004-05,North,1
10101013137,2004-05,North,1
10101013150,2004-05,North,1
10101013159,2004-05,North,1
10101013197,2004-05,North,1
10101013201,2004-05,North,1
10101013204,2004-05,North,1
10101013221,2004-05,North,1
10101013227,2004-05,North,1
10101013228,2004-05,North,1
10101013232,2004-05,North,1
10101013240,2004-05,North,1
10101026007,2004-05,North,1
10101026012,2004-05,North,1
10101026023,2004-05,North,1
10101026028,2004-05,North,1
10101026038,2004-05,North,1
10101026041,2004-05,North,1
10101026043,2004-05,North,1
10101026044,2004-05,North,1
10101026060,2004-05,North,1
10101026068,2004-05,North,1
10101026078,2004-05,North,1
10101026102,2004-05,North,1
10101026118,2004-05,North,1
10101026119,2004-05,North,1
10101026140,2004-05,North,1
10101026150,2004-05,North,1
10101026161,2004-05,North,1
10101026194,2004-05,North,1
10101026204,2004-05,North,1
10101026211,2004-05,North,1
10102013005,2004-05,North,1
10102013024,2004-05,North,1
10102013039,2004-05,North,1
10102013068,2004-05,North,1
10102013079,2004-05,North,1
10102013101,2004-05,North,1
10102013115,2004-05,North,1
10102013124,2004-05,North,1
10102013133,2004-05,North,1
10102013142,2004-05,North,1
10102013144,2004-05,North,1
10102013148,2004-05,North,1
10102013160,2004-05,North,1
10102013169,2004-05,North,1
10102013194,2004-05,North,1
10102013200,2004-05,North,1
10102013203,2004-05,North,1
10102013215,2004-05,North,1
10102013216,2004-05,North,1
10102013219,2004-05,North,1
10102016003,2004-05,North,1
10102016011,2004-05,North,1
10102016017,2004-05,North,1
10102016018,2004-05,North,1
10102016020,2004-05,North,1
10102016024,2004-05,North,1
10102016038,2004-05,North,1
10102016042,2004-05,North,1
10102016044,2004-05,North,1
10102016067,2004-05,North,1
10102016074,2004-05,North,1
10102016077,2004-05,North,1
10102016090,2004-05,North,1
10102016095,2004-05,North,1
10102016129,2004-05,North,1
10102016165,2004-05,North,1
10102016168,2004-05,North,1
10102016180,2004-05,North,1
10102016185,2004-05,North,1
10102016188,2004-05,North,1
10103006005,2004-05,North,1
10103006034,2004-05,North,1
10103006037,2004-05,North,1
10103006047,2004-05,North,1
10103006060,2004-05,North,1
10103006089,2004-05,North,1
10103006098,2004-05,North,1
10103006102,2004-05,North,1
10103006125,2004-05,North,1
10103006140,2004-05,North,1
10103006153,2004-05,North,1
10103006154,2004-05,North,1
10103006158,2004-05,North,1
10103006169,2004-05,North,1
10103006179,2004-05,North,1
10103006186,2004-05,North,1
10103006189,2004-05,North,1
10103006211,2004-05,North,1
10103006220,2004-05,North,1
10103006233,2004-05,North,1
10104014008,2004-05,North,1
10104014010,2004-05,North,1
10104014032,2004-05,North,1
10104014039,2004-05,North,1
10104014062,2004-05,North,1
10104014064,2004-05,North,1
10104014065,2004-05,North,1
10104014068,2004-05,North,1
10104014104,2004-05,North,1
10104014111,2004-05,North,1
10104014143,2004-05,North,1
10104014147,2004-05,North,1
10104014165,2004-05,North,1
10104014168,2004-05,North,1
10104014169,2004-05,North,1
10104014170,2004-05,North,1
10104014171,2004-05,North,1
10104014180,2004-05,North,1
10104014184,2004-05,North,1
10104014188,2004-05,North,1
10105005005,2004-05,North,1
10105005010,2004-05,North,1
10105005016,2004-05,North,1
10105005027,2004-05,North,1
10105005034,2004-05,North,1
10105005053,2004-05,North,1
10105005061,2004-05,North,1
10105005066,2004-05,North,1
10105005069,2004-05,North,1
10105005089,2004-05,North,1
10105005096,2004-05,North,1
10105005102,2004-05,North,1
10105005109,2004-05,North,1
10105005128,2004-05,North,1
10105005143,2004-05,North,1
10105005156,2004-05,North,1
10105005160,2004-05,North,1
10105005164,2004-05,North,1
10105005180,2004-05,North,1
10105005181,2004-05,North,1
10105010003,2004-05,North,1
10105010034,2004-05,North,1
10105010044,2004-05,North,1
10105010054,2004-05,North,1
10105010073,2004-05,North,1
10105010094,2004-05,North,1
10105010099,2004-05,North,1
10105010109,2004-05,North,1
10105010119,2004-05,North,1
10105010133,2004-05,North,1
10105010142,2004-05,North,1
10105010145,2004-05,North,1
10105010156,2004-05,North,1
10105010163,2004-05,North,1
10105010166,2004-05,North,1
10105010170,2004-05,North,1
10105010179,2004-05,North,1
10105010202,2004-05,North,1
10105010235,2004-05,North,1
10105010241,2004-05,North,1
10120702005,2004-05,North,1
10120702008,2004-05,North,1
10120702010,2004-05,North,1
10120702013,2004-05,North,1
10120702025,2004-05,North,1
10120702031,2004-05,North,1
10120702057,2004-05,North,1
10120702058,2004-05,North,1
10120702073,2004-05,North,1
10120702080,2004-05,North,1
10120702088,2004-05,North,1
10120702095,2004-05,North,1
10120702098,2004-05,North,1
10120702120,2004-05,North,1
10120702148,2004-05,North,1
10120702161,2004-05,North,1
10120702174,2004-05,North,1
10120702184,2004-05,North,1
10120702235,2004-05,North,1
10120702240,2004-05,North,1
10201021013,2004-05,North,1
10201021017,2004-05,North,1
10201021020,2004-05,North,1
10201021035,2004-05,North,1
10201021053,2004-05,North,1
10201021062,2004-05,North,1
10201021093,2004-05,North,1
10201021111,2004-05,North,1
10201021142,2004-05,North,1
10201021149,2004-05,North,1
10201021165,2004-05,North,1
10201021174,2004-05,North,1
10201021177,2004-05,North,1
10201021196,2004-05,North,1
10201021201,2004-05,North,1
10201021264,2004-05,North,1
10201021268,2004-05,North,1
10201021269,2004-05,North,1
10201021361,2004-05,North,1
10201021454,2004-05,North,1
10201032051,2004-05,North,1
10201032072,2004-05,North,1
10201032100,2004-05,North,1
10201032157,2004-05,North,1
10201032208,2004-05,North,1
10201032225,2004-05,North,1
10201032240,2004-05,North,1
10201032246,2004-05,North,1
10201032252,2004-05,North,1
10201032288,2004-05,North,1
10201032325,2004-05,North,1
10201032344,2004-05,North,1
10201032376,2004-05,North,1
10201032379,2004-05,North,1
10201032390,2004-05,North,1
10201032402,2004-05,North,1
10201032427,2004-05,North,1
10201032457,2004-05,North,1
10201032468,2004-05,North,1
10201032479,2004-05,North,1
10202801013,2004-05,North,1
10202801025,2004-05,North,1
10202801032,2004-05,North,1
10202801035,2004-05,North,1
10202801036,2004-05,North,1
10202801049,2004-05,North,1
10202801062,2004-05,North,1
10202801067,2004-05,North,1
10202801073,2004-05,North,1
10202801076,2004-05,North,1
10202801081,2004-05,North,1
10202801082,2004-05,North,1
10202801085,2004-05,North,1
10202801092,2004-05,North,1
10202801112,2004-05,North,1
10202801119,2004-05,North,1
10202801128,2004-05,North,1
10202801130,2004-05,North,1
10202801161,2004-05,North,1
10202801226,2004-05,North,1
10203002002,2004-05,North,1
10203002028,2004-05,North,1
10203002036,2004-05,North,1
10203002055,2004-05,North,1
10203002071,2004-05,North,1
10203002077,2004-05,North,1
10203002079,2004-05,North,1
10203002085,2004-05,North,1
10203002094,2004-05,North,1
10203002095,2004-05,North,1
10203002128,2004-05,North,1
10203002137,2004-05,North,1
10203002150,2004-05,North,1
