j,Energy,Protein,Fiber,Folate,Calcium,Carbohydrate,Iron,Niacin,Riboflavin,Thiamin,Vitamin A,Vitamin B-12,Vitamin B-6,Vitamin C,Zinc
Apple,617.893,1.875,20.43,0,46.56,147.817,0,0.9,0.6625,0.0875,0,0,0.2131,0,0.1964
Avocado,1600,20,70,810,120,85,6,17.38,1.3,0.67,70,0,2.57,100,6
Banana,890,11,30,200,50,228,3,6.65,0.73,0.31,30,0,3.67,87,2
"Bean, Brown",3470,214,160,5250,1130,626,51,11.74,2.12,7.13,0,0,4.74,63,23
"Bean, White",3470,214,160,5250,1130,626,51,11.74,2.12,7.13,0,0,4.74,63,23
Beef,2510,182,0,60,70,0,19,31.5,1.6,0.9,0,28.9,3.8,0,37
Biscuits,4460,69,10,1030,430,741,28,34.7,3.26,3.5,0,0.5,0.22,0,6
Boiled sweet potatoes,1230,23,40,160,430,289,9,8,0.88,1.12,2250,0,3,34,4
Bottled/ Canned Beer,410,3,0,60,50,37,0,5.1,0.3,0.1,0,0.2,0.5,0,0
"Bottled / canned beer (carlsberg, etc)",410,3,0,60,50,37,0,5.1,0.3,0.1,0,0.2,0.5,0,0
Bread,2660,76,20,1110,1510,506,37,43.85,3.31,4.55,0,0,0.84,0,7
Breakfast Cereal,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Buns, Scones",2660,76,20,1110,1510,506,37,43.85,3.31,4.55,0,0,0.84,0,7
Butter,8760,3,,,80,,1,,,,9250,0,0,0,0
Cabbage,250,13,30,430,400,58,5,2.34,0.4,0.61,50,0,1.24,366,2
Cassava - Boiled (Vendor),1600,14,,,160,,3,,,,10,0,1,206,3
Cassava Flour,3140,26,,,460,,19,,,,140,0,7,720,7
Cassava Tubers,1600,14,,,160,,3,,,,10,0,1,206,3
Chambiko - Soured Milk,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cheese,16400,270,0,90,8900,14.4,1.3,0.6,3.03,0.11,2920,30.2,0.7,0,43.7
Chibuku (Commercial Traditional-Style Beer),410,3,0,60,50,37,0,5.1,0.3,0.1,0,0.2,0.5,0,0
Chibuku(Commercial Traditional-Style Beer),410,3,0,60,50,37,0,5.1,0.3,0.1,0,0.2,0.5,0,0
Chibuku/ Napolo,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Chicken,2150,186,0,60,110,0,9,68.01,1.2,0.6,420,3.1,3.5,16,13
Chicken - pieces,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Chicken (Vendor),2390,273,0,50,150,0,13,84.87,1.68,0.63,480,3,4,0,19
Chicken/pieces,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Chinese Cabbage,250,13,30,430,400,58,5,2.34,0.4,0.61,50,0,1.24,366,2
Chips (Vendor),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Citrus – naartje, orange, etc.",470,9,20,300,400,118,1,2.82,0.4,0.87,110,0,0.6,532,1
"Citrus – naartje, orange, etc.",470,9,20,300,400,118,1,2.82,0.4,0.87,110,0,0.6,532,1
"Citrus, Naartje, Orange, E",470,9,20,300,400,118,1,2.82,0.4,0.87,110,0,0.6,532,1
"Cocoa, Millo",2000,100,,,3000,,100,,,,0,0,0,0,0
"Cocoa, Milo",2000,100,,,3000,,100,,,,0,0,0,0,0
Cocoyam (Masimbi),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Coffee,80,3,0,0,20,1.7,0.2,8,0,0.2,0,0,0,0,0.2
Cooking Oil,8840,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cowpea (Khobwe),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cucumber,159.075,6.25,0,0,163.4,29.525,0,0,0,0,0,0,0,0,2.04
Dried Fish,3090,664,,,410,,14,,,,0,350,73,0,17
Eggs,1430,126,0,470,530,8,18,0.7,4.78,0.69,1400,12.9,1.43,0,11
Eggs - Boiled (Vendor),1430,126,0,470,530,8,18,0.7,4.78,0.69,1400,12.9,1.43,0,11
Finger Millet,3780,110,90,850,80,729,30,47.2,2.9,4.21,0,0,3.84,0,17
Fish (Vendor),1390,193,0,10,110,0,4,23,1.7,1.3,300,24,4,16,5
Fish Soup/Sauce,1390,193,0,10,110,0,4,23,1.7,1.3,300,24,4,16,5
Freezes (Flavoured Ice),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Fresh Fish (Large Variety),1390,193,0,10,110,0,4,23,1.7,1.3,300,24,4,16,5
Fresh Fish (Medium Variety),1390,193,0,10,110,0,4,23,1.7,1.3,300,24,4,16,5
Fresh Fish (Small Variety),1390,193,0,10,110,0,4,23,1.7,1.3,300,24,4,16,5
Fresh Milk,600,32,0,50,1130,45,0,1.07,1.83,0.44,280,4.4,0.36,0,4
Fruit Juice,450,1,0,0,1180,113,1,2.5,10.4,1.1,0,0,0.7,551,0
Gathered Wild Green Leaves,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Goat,1090,206,0,50,130,0,28,37.5,4.9,1.1,0,11.3,2,0,40
Green Maize,590,18,,,10,,3,,,,70,0,0,30,3
Ground Bean,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Groundnut,4370,199,70,1850,710,124,35,93.03,1.04,4.93,0,0,2.68,0,25
Groundnut Fresh (Unshelled),4370,199,70,1850,710,124,35,93.03,1.04,4.93,0,0,2.68,0,25
Groundnut Dried (Unshelled),4370,199,70,1850,710,124,35,93.03,1.04,4.93,0,0,2.68,0,25
Groundnut Flour,4370,199,70,1850,710,124,35,93.03,1.04,4.93,0,0,2.68,0,25
Guava,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Honey,3040,3,0,20,60,824,4,1.21,0.38,0,0,0,0.24,5,2
