i,t,m,j,Expenditure
101010160009,2010-11,North,Chambiko - soured milk,60
101010160009,2010-11,North,Cooking oil,60
101010160009,2010-11,North,Dried fish,100
101010160009,2010-11,North,Onion,50
101010160009,2010-11,North,Salt,40
101010160009,2010-11,North,Tomato,80
101010160009,2010-11,North,Traditional beer (masese),120
101010160033,2010-11,North,Cooking oil,40
101010160033,2010-11,North,Goat,150
101010160033,2010-11,North,Salt,10
101010160033,2010-11,North,Tomato,40
101010160033,2010-11,North,Traditional beer (masese),90
101010160033,2010-11,North,"Yeast, baking powder, bicarbonate of soda",10
101010160060,2010-11,North,"Bean, brown",300
101010160060,2010-11,North,Cooking oil,140
101010160060,2010-11,North,Onion,20
101010160060,2010-11,North,Pork,300
101010160060,2010-11,North,Salt,40
101010160060,2010-11,North,Sugar,300
101010160060,2010-11,North,Tomato,60
101010160060,2010-11,North,"Yeast, baking powder, bicarbonate of soda",30
101010160068,2010-11,North,Banana,50
101010160068,2010-11,North,Biscuits,50
101010160068,2010-11,North,Cooking oil,170
101010160068,2010-11,North,"Mandazi, doughnut (vendor)",30
101010160068,2010-11,North,Salt,100
101010160068,2010-11,North,Sugar,150
101010160068,2010-11,North,Tomato,50
101010160069,2010-11,North,Dried fish,50
101010160069,2010-11,North,Eggs,60
101010160069,2010-11,North,Guava,20
101010160069,2010-11,North,"Mandazi, doughnut (vendor)",60
101010160069,2010-11,North,Onion,50
101010160069,2010-11,North,Salt,50
101010160069,2010-11,North,Sugar,50
101010160069,2010-11,North,Sugar cane,40
101010160069,2010-11,North,Tanaposi/rape,80
101010160069,2010-11,North,Tomato,50
101010160070,2010-11,North,Cooking oil,550
101010160070,2010-11,North,Dried fish,100
101010160070,2010-11,North,"Mandazi, doughnut (vendor)",220
101010160070,2010-11,North,Onion,20
101010160070,2010-11,North,Salt,50
101010160070,2010-11,North,Sugar,300
101010160070,2010-11,North,Tea,50
101010160070,2010-11,North,Tomato,100
101010160074,2010-11,North,Cooking oil,40
101010160074,2010-11,North,Onion,100
101010160074,2010-11,North,Salt,20
101010160074,2010-11,North,Sugar,150
101010160074,2010-11,North,Tea,30
101010160074,2010-11,North,Tomato,60
101010160074,2010-11,North,Traditional beer (masese),60
101010160086,2010-11,North,"Bean, brown",600
101010160086,2010-11,North,Cassava tubers,100
101010160086,2010-11,North,Cooking oil,300
101010160086,2010-11,North,Dried fish,150
101010160086,2010-11,North,Eggs,120
101010160086,2010-11,North,"Mandazi, doughnut (vendor)",180
101010160086,2010-11,North,Onion,40
101010160086,2010-11,North,Salt,20
101010160086,2010-11,North,Sugar,300
101010160086,2010-11,North,Tea,20
101010160086,2010-11,North,Tomato,100
101010160096,2010-11,North,Biscuits,100
101010160096,2010-11,North,Cassava tubers,200
101010160096,2010-11,North,Cooking oil,20
101010160096,2010-11,North,Fresh fish,100
101010160096,2010-11,North,Nkhwani,100
101010160096,2010-11,North,Onion,40
101010160096,2010-11,North,Papaya,100
101010160096,2010-11,North,Salt,20
101010160096,2010-11,North,Sugar,150
101010160143,2010-11,North,"Bean, brown",250
101010160143,2010-11,North,Cooking oil,60
101010160143,2010-11,North,Goat,300
101010160143,2010-11,North,"Mandazi, doughnut (vendor)",50
101010160143,2010-11,North,Onion,20
101010160143,2010-11,North,Salt,40
101010160143,2010-11,North,Sugar,150
101010160143,2010-11,North,Tea,20
101010160143,2010-11,North,Tomato,60
101010160143,2010-11,North,Traditional beer (masese),150
101010160159,2010-11,North,Banana,10
101010160159,2010-11,North,"Bean, brown",50
101010160159,2010-11,North,Chambiko - soured milk,25
101010160159,2010-11,North,Pumpkin,50
101010160159,2010-11,North,Salt,20
101010160159,2010-11,North,Sugar,50
101010160180,2010-11,North,"Bean, white",100
101010160180,2010-11,North,Cooking oil,40
101010160180,2010-11,North,Salt,20
101010160180,2010-11,North,Tomato,50
101010160180,2010-11,North,"Yeast, baking powder, bicarbonate of soda",5
101010160207,2010-11,North,"Bean, brown",100
101010160207,2010-11,North,"Bean, white",100
