t,m,j,u,Price
2019-20,Central,Apple,kg,1414.29036
2019-20,Central,Avocado,kg,268.3409367
2019-20,Central,Banana,kg,341.1345205
2019-20,Central,"Bean, brown",kg,875.4533056
2019-20,Central,"Bean, white",kg,943.3442297
2019-20,Central,Beef,kg,2257.85329
2019-20,Central,Biscuits,kg,1022.37723
2019-20,Central,Boiled groundnuts,kg,623.0694487
2019-20,Central,Boiled sweet potatoes,kg,242.0138943
2019-20,Central,"Bottled / canned beer (carlsberg, etc)",kg,911.0782235
2019-20,Central,Bottled water,kg,221.8673715
2019-20,Central,Bread,kg,935.0683782
2019-20,Central,Breakfast cereals,kg,1762.698413
2019-20,Central,"Buns, scones",kg,1254.864572
2019-20,Central,Butter,kg,52442.57937
2019-20,Central,Cabbage,kg,135.6786439
2019-20,Central,Cassava - boiled (vendor),kg,396.4675588
2019-20,Central,Cassava - roasted (vendor),kg,1431.111054
2019-20,Central,Cassava flour,kg,504.3802745
2019-20,Central,Cassava tubers,kg,225.940391
2019-20,Central,Chambiko - soured milk,kg,900.7117461
2019-20,Central,Cheese,kg,818.2946449
2019-20,Central,Chibuku(commercial traditional-style beer),kg,492.9073627
2019-20,Central,Chicken (vendor),kg,4644.316328
2019-20,Central,Chicken - pieces,kg,449.2286902
2019-20,Central,Chicken - whole,kg,4184.370837
2019-20,Central,Chinese cabbage,kg,364.0133304
2019-20,Central,Chips (vendor),kg,1295.151682
2019-20,Central,"Citrus – naartje, orange, etc",kg,484.2800144
2019-20,Central,"Cocoa, milo",kg,4260.938731
2019-20,Central,Cocoyam (masimbi),kg,444.3115534
2019-20,Central,Coffee,kg,10419.19206
2019-20,Central,Cooking oil,kg,1265.54868
2019-20,Central,Cowpea (khobwe),kg,685.767482
2019-20,Central,Cucumber,kg,358.1519365
2019-20,Central,Eggs,kg,1585.489322
2019-20,Central,Eggs - boiled (vendor),kg,1632.575794
2019-20,Central,Finger millet (mawere),kg,840.2951853
2019-20,Central,Fish (vendor),kg,2359.73436
2019-20,Central,Freezes (flavoured ice),kg,162.3366874
2019-20,Central,Fresh fish (large variety),kg,2916.365004
2019-20,Central,Fresh fish (medium variety),kg,3244.29942
2019-20,Central,Fresh fish (small variety),kg,1981.772477
2019-20,Central,Fresh milk,kg,547.0350815
2019-20,Central,Fruit juice,kg,237.8178986
2019-20,Central,Gathered wild green leaves,kg,503.2881898
2019-20,Central,Goat,kg,2229.069871
2019-20,Central,Green maize,kg,230.0197029
2019-20,Central,Ground bean (nzama),kg,717.8301048
2019-20,Central,Groundnut (shelled),kg,952.7804646
2019-20,Central,Groundnut dried (unshelled),kg,1012.673168
2019-20,Central,Groundnut flour,kg,1279.396592
2019-20,Central,Groundnut fresh (unshelled),kg,1112.41767
2019-20,Central,Guava,kg,355.6304288
2019-20,Central,Honey,kg,4125.974249
2019-20,Central,"Hot sauce (nali, etc)",kg,2676.266181
2019-20,Central,Infant feeding cereals,kg,2025
2019-20,Central,Infant feeding formula (for bottle),kg,1826.760684
2019-20,Central,Irish potato,kg,359.1884402
2019-20,Central,"Jam, jelly",kg,3146.666667
2019-20,Central,Kalongonda (mucuna),kg,237.0689723
2019-20,Central,Locally brewed liquor (kachasu ),kg,521.0637943
2019-20,Central,Macademia nuts,kg,1125.87141
