t,m,j,u,Price
2019-20,Central,Apple,kg,1414.29036
2019-20,Central,Avocado,kg,268.3409367
2019-20,Central,Banana,kg,341.1345205
2019-20,Central,"Bean, Brown",kg,875.4533056
2019-20,Central,"Bean, White",kg,943.3442297
2019-20,Central,Beef,kg,2257.85329
2019-20,Central,Biscuits,kg,1022.37723
2019-20,Central,Groundnut,kg,623.0694487
2019-20,Central,Boiled sweet potatoes,kg,242.0138943
2019-20,Central,"Bottled / canned beer (carlsberg, etc)",kg,911.0782235
2019-20,Central,Bottled/ Canned Beer,kg,221.8673715
2019-20,Central,Bread,kg,935.0683782
2019-20,Central,Breakfast Cereal,kg,1762.698413
2019-20,Central,"Buns, Scones",kg,1254.864572
2019-20,Central,Butter,kg,52442.57937
2019-20,Central,Cabbage,kg,135.6786439
2019-20,Central,Cassava - Boiled (Vendor),kg,396.4675588
2019-20,Central,Cassava - Boiled (Vendor),kg,1431.111054
2019-20,Central,Cassava Flour,kg,504.3802745
2019-20,Central,Cassava Tubers,kg,225.940391
2019-20,Central,Chambiko - Soured Milk,kg,900.7117461
2019-20,Central,Cheese,kg,818.2946449
2019-20,Central,Chibuku(Commercial Traditional-Style Beer),kg,492.9073627
2019-20,Central,Chicken (Vendor),kg,4644.316328
2019-20,Central,Chicken - pieces,kg,449.2286902
2019-20,Central,Chicken,kg,4184.370837
2019-20,Central,Chinese Cabbage,kg,364.0133304
2019-20,Central,Chips (Vendor),kg,1295.151682
2019-20,Central,"Citrus, Naartje, Orange, E",kg,484.2800144
2019-20,Central,"Cocoa, Milo",kg,4260.938731
2019-20,Central,Cocoyam (Masimbi),kg,444.3115534
2019-20,Central,Coffee,kg,10419.19206
2019-20,Central,Cooking Oil,kg,1265.54868
2019-20,Central,Cowpea (Khobwe),kg,685.767482
2019-20,Central,Cucumber,kg,358.1519365
2019-20,Central,Eggs,kg,1585.489322
2019-20,Central,Eggs - Boiled (Vendor),kg,1632.575794
2019-20,Central,Finger Millet,kg,840.2951853
2019-20,Central,Fish (Vendor),kg,2359.73436
2019-20,Central,Freezes (Flavoured Ice),kg,162.3366874
2019-20,Central,Fresh Fish (Large Variety),kg,2916.365004
2019-20,Central,Fresh Fish (Medium Variety),kg,3244.29942
2019-20,Central,Fresh Fish (Small Variety),kg,1981.772477
2019-20,Central,Fresh Milk,kg,547.0350815
2019-20,Central,Fruit Juice,kg,237.8178986
2019-20,Central,Gathered Wild Green Leaves,kg,503.2881898
2019-20,Central,Goat,kg,2229.069871
2019-20,Central,Green Maize,kg,230.0197029
2019-20,Central,Ground Bean,kg,717.8301048
2019-20,Central,Groundnut Flour,kg,952.7804646
2019-20,Central,Groundnut Dried (Unshelled),kg,1012.673168
2019-20,Central,Groundnut Flour,kg,1279.396592
2019-20,Central,Groundnut Fresh (Unshelled),kg,1112.41767
2019-20,Central,Guava,kg,355.6304288
2019-20,Central,Honey,kg,4125.974249
2019-20,Central,"Hot Sauce (Nali, Etc.)",kg,2676.266181
2019-20,Central,Infant Feeding Cereals,kg,2025.0
2019-20,Central,Infant Feeding Formula,kg,1826.760684
2019-20,Central,Irish Potato,kg,359.1884402
2019-20,Central,"Jam, Jelly, Honey",kg,3146.666667
2019-20,Central,Kalongonda (Mucuna),kg,237.0689723
