i,t,m,boys,women,girls,men,M 00-03,F 00-03,M 04-08,F 04-08,M 09-13,F 09-13,M 14-18,F 14-18,M 19-30,F 19-30,M 31-50,F 31-50,M 51+,F 51+,log HSize
10101002025,2004-05,North,3,1,2,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1.945910149
10101002051,2004-05,North,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1.098612289
10101002072,2004-05,North,3,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1.791759469
10101002079,2004-05,North,1,1,3,1,0,2,1,1,0,0,0,0,0,0,1,1,0,0,1.791759469
10101002095,2004-05,North,2,1,2,1,0,0,0,2,2,0,0,0,1,1,0,0,0,0,1.791759469
10101002100,2004-05,North,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1.098612289
10101002117,2004-05,North,1,1,3,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1.791759469
10101002145,2004-05,North,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.6931471806
10101002157,2004-05,North,1,1,2,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1.609437912
10101002168,2004-05,North,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1.098612289
10101002208,2004-05,North,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.6931471806
10101002225,2004-05,North,1,2,3,1,0,0,0,1,1,1,0,2,0,0,0,1,1,0,1.945910149
10101002240,2004-05,North,1,1,2,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1.609437912
10101002246,2004-05,North,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
10101002252,2004-05,North,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1.098612289
10101002270,2004-05,North,4,2,1,1,0,1,2,0,1,0,1,0,0,0,1,1,0,1,2.079441542
10101002288,2004-05,North,3,1,0,1,2,0,1,0,0,0,0,0,1,1,0,0,0,0,1.609437912
